aweme_id,aweme_url,collected_count,comment_count,create_date,create_datetime,detected_language,download_status,duration_seconds,engagement_total,error,file_size_bytes,fps,frame_count,height,liked_count,probe_status,segment_count,share_count,transcribe_status,transcript_file,video_file,width
7616349448264191738,https://www.douyin.com/video/7616349448264191738,535,150,2026-03-12,2026-03-12 12:45:45,zh,downloaded,326.433,4698,,27851899,30.000,9793,1280,3636,ok,135,377,ok,raw/sources/Akkkk缺失视频转写/2026-03-12_7616349448264191738.md,raw/assets/Akkkk缺失视频/2026-03-12_7616349448264191738.mp4,720
7608602943714280059,https://www.douyin.com/video/7608602943714280059,704,116,2026-02-19,2026-02-19 15:45:25,zh,downloaded,397.667,6274,,36353521,30.000,11930,1280,5013,ok,156,441,ok,raw/sources/Akkkk缺失视频转写/2026-02-19_7608602943714280059.md,raw/assets/Akkkk缺失视频/2026-02-19_7608602943714280059.mp4,720
7606379661292435825,https://www.douyin.com/video/7606379661292435825,1082,89,2026-02-13,2026-02-13 15:57:55,zh,downloaded,636.567,7688,,52498845,30.000,19097,1280,5664,ok,404,853,ok,raw/sources/Akkkk缺失视频转写/2026-02-13_7606379661292435825.md,raw/assets/Akkkk缺失视频/2026-02-13_7606379661292435825.mp4,720
7603426762958019825,https://www.douyin.com/video/7603426762958019825,3161,357,2026-02-05,2026-02-05 16:59:17,zh,downloaded,514.933,18266,,44103439,30.000,15448,1920,12523,ok,347,2225,ok,raw/sources/Akkkk缺失视频转写/2026-02-05_7603426762958019825.md,raw/assets/Akkkk缺失视频/2026-02-05_7603426762958019825.mp4,1080
7601572356120794597,https://www.douyin.com/video/7601572356120794597,183,134,2026-01-31,2026-01-31 17:03:06,zh,downloaded,31.867,2455,,3704328,30.000,956,1024,2032,ok,6,106,ok,raw/sources/Akkkk缺失视频转写/2026-01-31_7601572356120794597.md,raw/assets/Akkkk缺失视频/2026-01-31_7601572356120794597.mp4,576
7597837288257799609,https://www.douyin.com/video/7597837288257799609,650,183,2026-01-21,2026-01-21 15:29:12,zh,downloaded,366.033,5068,,52521485,30.000,10981,1024,3787,ok,248,448,ok,raw/sources/Akkkk缺失视频转写/2026-01-21_7597837288257799609.md,raw/assets/Akkkk缺失视频/2026-01-21_7597837288257799609.mp4,576
7596327728018866041,https://www.douyin.com/video/7596327728018866041,376,67,2026-01-17,2026-01-17 13:51:16,zh,downloaded,162.667,3476,,13618124,29.889,4862,1280,2830,ok,77,203,ok,raw/sources/Akkkk缺失视频转写/2026-01-17_7596327728018866041.md,raw/assets/Akkkk缺失视频/2026-01-17_7596327728018866041.mp4,720
7594492965419411825,https://www.douyin.com/video/7594492965419411825,992,173,2026-01-12,2026-01-12 15:11:26,zh,downloaded,123.900,8101,,11069288,30.000,3717,1920,6569,ok,74,367,ok,raw/sources/Akkkk缺失视频转写/2026-01-12_7594492965419411825.md,raw/assets/Akkkk缺失视频/2026-01-12_7594492965419411825.mp4,1080
7592999616145222769,https://www.douyin.com/video/7592999616145222769,1425,197,2026-01-08,2026-01-08 14:36:28,zh,downloaded,217.333,11215,,24314783,30.000,6520,1024,8966,ok,117,627,ok,raw/sources/Akkkk缺失视频转写/2026-01-08_7592999616145222769.md,raw/assets/Akkkk缺失视频/2026-01-08_7592999616145222769.mp4,576
7592256110880804601,https://www.douyin.com/video/7592256110880804601,315,109,2026-01-06,2026-01-06 14:31:18,zh,downloaded,412.867,3147,,34941998,30.000,12386,1920,2558,ok,287,165,ok,raw/sources/Akkkk缺失视频转写/2026-01-06_7592256110880804601.md,raw/assets/Akkkk缺失视频/2026-01-06_7592256110880804601.mp4,1080
7591872500649264625,https://www.douyin.com/video/7591872500649264625,631,167,2026-01-05,2026-01-05 13:42:43,zh,downloaded,260.367,5969,,23146426,30.000,7811,1280,4788,ok,166,383,ok,raw/sources/Akkkk缺失视频转写/2026-01-05_7591872500649264625.md,raw/assets/Akkkk缺失视频/2026-01-05_7591872500649264625.mp4,720
7587121122480819505,https://www.douyin.com/video/7587121122480819505,454,126,2025-12-23,2025-12-23 18:26:47,zh,downloaded,81.667,5793,,10752694,30.000,2450,1024,5033,ok,38,180,ok,raw/sources/Akkkk缺失视频转写/2025-12-23_7587121122480819505.md,raw/assets/Akkkk缺失视频/2025-12-23_7587121122480819505.mp4,576
7583383067910655281,https://www.douyin.com/video/7583383067910655281,74,173,2025-12-13,2025-12-13 16:39:50,zh,downloaded,25.967,1898,,2170479,30.000,779,1440,1619,ok,16,32,ok,raw/sources/Akkkk缺失视频转写/2025-12-13_7583383067910655281.md,raw/assets/Akkkk缺失视频/2025-12-13_7583383067910655281.mp4,1080
7580006065296655461,https://www.douyin.com/video/7580006065296655461,1282,1557,2025-12-04,2025-12-04 14:14:57,zh,downloaded,275.800,13559,,25155805,30.000,8274,1920,9666,ok,132,1054,ok,raw/sources/Akkkk缺失视频转写/2025-12-04_7580006065296655461.md,raw/assets/Akkkk缺失视频/2025-12-04_7580006065296655461.mp4,1080
7576308702840648699,https://www.douyin.com/video/7576308702840648699,250,284,2025-11-24,2025-11-24 15:07:15,zh,downloaded,471.633,3145,,38552644,30.000,14149,1280,2420,ok,195,191,ok,raw/sources/Akkkk缺失视频转写/2025-11-24_7576308702840648699.md,raw/assets/Akkkk缺失视频/2025-11-24_7576308702840648699.mp4,720
7574817898611755129,https://www.douyin.com/video/7574817898611755129,2914,231,2025-11-20,2025-11-20 14:42:09,zh,downloaded,753.033,15394,,32797211,24.373,18354,1920,11083,ok,397,1166,ok,raw/sources/Akkkk缺失视频转写/2025-11-20_7574817898611755129.md,raw/assets/Akkkk缺失视频/2025-11-20_7574817898611755129.mp4,1080
7569669504134259449,https://www.douyin.com/video/7569669504134259449,822,143,2025-11-06,2025-11-06 17:43:57,zh,downloaded,308.967,6597,,33557308,30.000,9269,1024,5424,ok,158,208,ok,raw/sources/Akkkk缺失视频转写/2025-11-06_7569669504134259449.md,raw/assets/Akkkk缺失视频/2025-11-06_7569669504134259449.mp4,576
7566250228207291685,https://www.douyin.com/video/7566250228207291685,1494,263,2025-10-28,2025-10-28 12:35:13,zh,downloaded,268.233,12546,,36801361,29.616,7944,1024,9944,ok,136,845,ok,raw/sources/Akkkk缺失视频转写/2025-10-28_7566250228207291685.md,raw/assets/Akkkk缺失视频/2025-10-28_7566250228207291685.mp4,576
