aweme_id,create_datetime,create_date,aweme_url,video_file,download_status,file_size_bytes,engagement_total,liked_count,collected_count,comment_count,share_count,error,probe_status,width,height,fps,frame_count,duration_seconds
7538408246748679482,2025-08-14 11:54:07,2025-08-14,https://www.douyin.com/video/7538408246748679482,raw/assets/Akkkk缺失视频/2025-08-14_7538408246748679482.mp4,downloaded,2104512,9391,7020,753,430,1188,,failed,,,,,
7532839269434920251,2025-07-30 11:43:38,2025-07-30,https://www.douyin.com/video/7532839269434920251,raw/assets/Akkkk缺失视频/2025-07-30_7532839269434920251.mp4,downloaded,22163441,12143,9763,1357,99,924,,ok,576,1024,30.000,5265,175.500
7532750123852877115,2025-07-30 05:57:42,2025-07-30,https://www.douyin.com/video/7532750123852877115,raw/assets/Akkkk缺失视频/2025-07-30_7532750123852877115.mp4,downloaded,9509499,16579,13524,1467,361,1227,,ok,576,1024,29.282,2896,98.900
7459084157239463202,2025-01-12 17:39:26,2025-01-12,https://www.douyin.com/video/7459084157239463202,,empty,0,3288,1992,101,1117,78,downloaded file too small,missing_file,,,,,
7455539127992192308,2025-01-03 04:20:00,2025-01-03,https://www.douyin.com/video/7455539127992192308,raw/assets/Akkkk缺失视频/2025-01-03_7455539127992192308.mp4,downloaded,7004857,555,447,46,31,31,,ok,1080,1920,30.000,2306,76.867
7410718705157508379,2024-09-04 09:33:37,2024-09-04,https://www.douyin.com/video/7410718705157508379,raw/assets/Akkkk缺失视频/2024-09-04_7410718705157508379.mp4,downloaded,31964078,673,481,134,18,40,,ok,1080,1920,30.000,11948,398.267
7396987833925373211,2024-07-29 09:30:52,2024-07-29,https://www.douyin.com/video/7396987833925373211,raw/assets/Akkkk缺失视频/2024-07-29_7396987833925373211.mp4,downloaded,16556070,347,230,54,27,36,,ok,576,1024,30.000,4665,155.500
7396711051414244646,2024-07-28 15:36:46,2024-07-28,https://www.douyin.com/video/7396711051414244646,,empty,0,336,223,41,35,37,downloaded file too small,missing_file,,,,,
7395890775659236645,2024-07-26 10:33:44,2024-07-26,https://www.douyin.com/video/7395890775659236645,raw/assets/Akkkk缺失视频/2024-07-26_7395890775659236645.mp4,downloaded,10062460,492,323,104,29,36,,ok,576,1024,30.000,2492,83.067
7391451333640899850,2024-07-14 11:26:21,2024-07-14,https://www.douyin.com/video/7391451333640899850,,empty,0,326,221,34,50,21,downloaded file too small,missing_file,,,,,
7380335910769970483,2024-06-14 12:32:51,2024-06-14,https://www.douyin.com/video/7380335910769970483,raw/assets/Akkkk缺失视频/2024-06-14_7380335910769970483.mp4,downloaded,14206989,804,488,173,39,104,,ok,576,1024,30.000,4035,134.500
7377747575333604646,2024-06-07 13:08:47,2024-06-07,https://www.douyin.com/video/7377747575333604646,raw/assets/Akkkk缺失视频/2024-06-07_7377747575333604646.mp4,downloaded,9451397,605,382,135,24,64,,ok,1080,1920,30.000,4172,139.067
7354393760408685851,2024-04-05 14:44:09,2024-04-05,https://www.douyin.com/video/7354393760408685851,,empty,0,416,278,57,43,38,downloaded file too small,missing_file,,,,,
